id,en,pt
,,
UNPAUSE_B,Unpause,Retomar
,,
OPTIONS_B,Options,Opções
,,
EXTRA_B,Extra,Extra
,,
SAVE_B,Save,Guardar
,,
LOAD_B,Load,Carregar
,,
QUIT_B,Quit,Saída
,,
MUSIC_SET,Music,Música
,,
SOUND_SET,Sound,Som
,,
FULLSCREEN_B,Fullscreen,Ecrã Inteiro
,,
MENU_B,Menu,Menu
,,
START_B,Start,Começar
,,
BONKA_TALK_1,"I'm as lost as you are, but you said this place looks like your home.
Can you at least figure out a way out of here?","Estou perdida como vocês mas disseram-me que este sítio pareçe familiar.
Podem pelo menos descubrir uma saída?"
